inventory,writer,count,source,destination,year,date,r_date,language,notes
DvdM_558-028,"Janssen van der Meulen, Peeter",1,Leiden,Delft,1593,15930121,15930121,Dutch,
DvdM_558-029,"Janssen van der Meulen, Peeter",1,Leiden,Delft,1593,15930124,15930124,Dutch,
DvdM_269-02,"Della Faille, Hester",1,Leiden,Haarlem,1593,15930202,15930202,Dutch,
DvdM_307,"Ancelmo, Antonio",1,Staden,Leiden,1593,15930206,15930221,Dutch,Changed date to new style
DvdM_614-03,"Pierens, Gillis",1,Amsterdam,Leiden,1593,15930209,15930220,Dutch,
DvdM_614-04,"Pierens, Gillis",1,Amsterdam,Leiden,1593,15930302,15930303,Dutch,
DvdM_614-05,"Pierens, Gillis",1,Amsterdam,Leiden,1593,15930317,15930320,Dutch,
DvdM_558-031,"Janssen van der Meulen, Peeter",1,Leiden,Haarlem,1593,15930325,NA,Dutch,
DvdM_614-07,"Pierens, Gillis",1,Amsterdam,Leiden,1593,15930325,15930326,Dutch,
DvdM_310-01,"Artsen, Dirck",1,Dordrecht,Leiden,1593,15930404,15930409,,
DvdM_310-02,"Artsen, Dirck",1,Dordrecht,Leiden,1593,15930415,15930420,,
DvdM_622-002,"Schot, Hans",1,Staden,Leiden,1593,15930426,15930511,Dutch,
DvdM_558-032,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1593,15930505,15930509,Dutch,
DvdM_274-40,"Della Faille, Marten",1,Antwerp,Leiden,1593,15930512,15930522,Dutch,
DvdM_558-034,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1593,15930515,15930517,Dutch,
DvdM_274-41,"Della Faille, Marten",1,Antwerp,Leiden,1593,15930813,15930820,Dutch,
DvdM_272,"Della Faille, Jeronimus",1,Ghent,Leiden,1593,15930901,15930927,Dutch,
DvdM_558-042,"Janssen van der Meulen, Peeter",1,Leiden,Amsterdam,1593,15930903,NA,Dutch,
DvdM_558-043,"Janssen van der Meulen, Peeter",1,Leiden,Bremen,1593,15930907,NA,Dutch,Sent a letter once a week to Daniel in Bremen for 5 straight weeks
DvdM_558-045,"Janssen van der Meulen, Peeter",1,Leiden,Bremen,1593,15930914,NA,Dutch,
DvdM_622-003,"Schot, Hans",1,Staden,Bremen,1593,15930914,15930918,Dutch,
DvdM_269-04,"Della Faille, Hester",1,Leiden,Bremen,1593,15930921,15931005,Dutch,Changed received date to old style
DvdM_558-046,"Janssen van der Meulen, Peeter",1,Leiden,Bremen,1593,15930921,NA,Dutch,
DvdM_274-42,"Della Faille, Marten",1,Antwerp,Leiden,1593,15930928,15931001,Dutch,
DvdM_558-047,"Janssen van der Meulen, Peeter",1,Leiden,Bremen,1593,15930928,NA,Dutch,
DvdM_558-048,"Janssen van der Meulen, Peeter",1,Leiden,Bremen,1593,15931005,NA,Dutch,
DvdM_558-049,"Janssen van der Meulen, Peeter",1,Leiden,Amsterdam,1593,15931012,NA,Dutch,
DvdM_558-050,"Janssen van der Meulen, Peeter",1,Leiden,Amsterdam,1593,15931015,NA,Dutch,
DvdM_622-004,"Schot, Hans",1,Amsterdam,Leiden,1593,15931018,15931018,Dutch,
DvdM_558-051,"Janssen van der Meulen, Peeter",1,Leiden,The Hague,1593,15931029,15931029,Dutch,
DvdM_270-04,"Della Faille, Gio",1,Antwerp,Leiden,1593,15931031,NA,Italian,
DvdM_558-053,"Janssen van der Meulen, Peeter",1,Harlingen,Leiden,1593,15931121,15931127,Dutch,
DvdM_558-054,"Janssen van der Meulen, Peeter",1,Emden,Leiden,1593,15931121,15931219,Dutch,
DvdM_622-005,"Schot, Hans",1,Haarlem,Leiden,1593,15931128,15931128,Dutch,
DvdM_270-05,"Della Faille, Gio",1,Antwerp,Leiden,1593,15931130,15931207,Italian,
DvdM_622-006,"Schot, Hans",1,Haarlem,Leiden,1593,15931201,15931202,Dutch,
DvdM_274-43,"Della Faille, Marten",1,Antwerp,Leiden,1593,15931207,15931211,Dutch,
DvdM_558-055,"Janssen van der Meulen, Peeter",1,Bremen,Leiden,1593,15931207,15931215,Dutch,Changed date to new style
DvdM_622-007,"Schot, Hans",1,Haarlem,Leiden,1593,15931212,15931213,Dutch,
DvdM_270-06,"Della Faille, Gio",1,Antwerp,Leiden,1593,15931212,15931215,Italian,
DvdM_453-01,"Pierens, Gillis",1,Amsterdam,Leiden,1593,15931223,15931228,Dutch,
DvdM_622-008,"Schot, Hans",1,Haarlem,Leiden,1593,15931224,15931226,Dutch,
DvdM_622-009,"Schot, Hans",1,Haarlem,Leiden,1593,15931230,15931231,Dutch,
DvdM_654,Aneel,1,Nuremberg,Leiden,1594,15940102,15940110,,Changed date to new style
DvdM_453-02,"Pierens, Gillis",1,Amsterdam,Leiden,1594,15940105,NA,Dutch,
DvdM_453-03,"Pierens, Gillis",1,Amsterdam,Leiden,1594,15940112,15940113,Dutch,
DvdM_622-010,"Schot, Hans",1,Haarlem,Leiden,1594,15940122,15940123,Dutch,
DvdM_622-011,"Schot, Hans",1,Haarlem,Leiden,1594,15940127,15940128,Dutch,
DvdM_453-04,"Pierens, Gillis",1,Amsterdam,Leiden,1594,15940130,15940201,Dutch,
DvdM_558-056,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940205,15940209,Dutch,
DvdM_274-44,"Della Faille, Marten",1,Antwerp,Leiden,1594,15940211,15940223,Dutch,
DvdM_558-057,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940213,15940219,Dutch,
DvdM_558-058,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940218,15940223,Dutch,
DvdM_558-059,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940219,15940223,Dutch,
DvdM_558-060,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940226,15940306,Dutch,
DvdM_453-05,"Pierens, Gillis",1,Amsterdam,Leiden,1594,15940227,15940227,Dutch,
DvdM_558-062,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940302,15940306,Dutch,
DvdM_558-063,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940303,15940308,Dutch,
DvdM_273-01,"Della Faille, Maria",1,NA,Leiden,1594,15940307,NA,Dutch,Need to look at letter and find where it was from and where it was sent.
DvdM_558-064,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940308,15940310,Dutch,
DvdM_558-065–66,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940315,15940318,Dutch,
DvdM_622-012,"Schot, Hans",1,Haarlem,Leiden,1594,15940318,15940318,Dutch,
DvdM_558-067,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940322,15940325,Dutch,
DvdM_468-04,"Reide, Everhard de",1,Leeuwarden,Leiden,1594,15940322,15940411,Latin,
DvdM_558-068,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940325,15940330,Dutch,
DvdM_558-069,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940401,NA,Dutch,
DvdM_558-070,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940408,15940411,Dutch,
DvdM_558-071,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940415,15940420,Dutch,
