inventory,writer,source,destination,year,date,rec_date,resp_date,language,notes
DvdM_286-15,"Corput, Hansken van den",Bremen,Leiden,1596,15960509,15960516,NA,Dutch,Changed sent date to new style
DvdM_287-01,"Corput, Hansken van den",Paris,Leiden,1597,15970309,15970401,NA,French,
DvdM_287-02,"Corput, Hansken van den",Paris,Leiden,1597,15970311,15970420,NA,French,
DvdM_287-03,"Corput, Hansken van den",Paris,Leiden,1597,15970410,15970502,NA,French,
DvdM_287-04,"Corput, Hansken van den",Paris,Leiden,1597,15970506,15970601,NA,French,
DvdM_287-05,"Corput, Hansken van den",Paris,Leiden,1597,15970603,15970612,NA,French,
DvdM_287-06,"Corput, Hansken van den",Middelburg,Leiden,1597,15970922,15970928,15971005,French,
DvdM_287-07,"Corput, Hansken van den",Middelburg,Leiden,1597,15971011,15971015,NA,French,
DvdM_287-08,"Corput, Hansken van den",Bremen,Leiden,1598,15980102,15980110,NA,French,
DvdM_287-09,"Corput, Hansken van den",Rotterdam,Leiden,1598,15980413,15980420,15980422,French,
DvdM_287-10,"Corput, Hansken van den",Rotterdam,Leiden,1598,15980519,15980520,NA,French,
DvdM_287-11,"Corput, Hansken van den",Rotterdam,Leiden,1598,15980521,15980521,NA,French,
DvdM_287-12,"Corput, Hansken van den",Goedereede,Leiden,1598,15980627,15980702,NA,French,Sent location from article on Hansken
DvdM_287-13,"Corput, Hansken van den",South Downs,Leiden,1598,15980709,15980716,NA,French,Sent location from article on Hansken
DvdM_287-14,"Corput, Hansken van den","Cape Lopez",Leiden,1598,15981209,15990611,NA,French,
DvdM_288-01,"Losschaert, Gaspar",Haarlem,Leiden,1592,15920209,15920210,NA,Italian,
DvdM_288-02,"Losschaert, Gaspar",Haarlem,Leiden,1592,15920317,15920318,NA,Italian,
DvdM_288-03,"Losschaert, Gaspar",Haarlem,Leiden,1596,15960111,15960111,NA,Dutch,
DvdM_288-04,"Losschaert, Gaspar",Haarlem,Leiden,1596,15961116,NA,NA,Dutch,
DvdM_288-05,"Losschaert, Gaspar",Haarlem,Leiden,1599,15990125,15990126,NA,Dutch,
DvdM_289-01,"Malapert, Johannes",Aachen,Leiden,1597,15970512,15970518,NA,Latin,
DvdM_290-01,"Malapert, Louis",Haarlem,Leiden,1598,15980503,NA,NA,French,Received date is unclear
DvdM_290-06,"Malapert, Louis",Cologne,Leiden,1599,15990703,15990707,15990725,French,I think received and response dates are correct
