"Inventory","name","count","source","destination","year","date","r_date"
"DvdM_538a-024","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-08-12","NA"
"DvdM_593a-099","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-08-12","NA"
"DvdM_593a-100","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-08-16","NA"
"DvdM_538a-025","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-08-18","NA"
"DvdM_538a-027","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-08-22","NA"
"DvdM_593a-101","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-08-22","NA"
"DvdM_157-02b","Wale, Jan de","1","Venice","Haarlem","1585","1585-08-30","NA"
"DvdM_538a-029","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-09-02","NA"
"DvdM_538a-030","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-09-03","NA"
"DvdM_558-004","Janssen van der Meulen, Peeter","1","Antwerp","Delft","1585","1585-09-04","NA"
"DvdM_538a-031","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-09-06","NA"
"DvdM_538a-033","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-09-07","NA"
"DvdM_538a-034","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-09-08","NA"
"DvdM_538a-036","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-09-10","NA"
"DvdM_538a-037","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-09-14","NA"
"DvdM_274-11","Della Faille, Marten","1","Antwerp","Delft","1585","1585-09-16","NA"
"DvdM_274-12","Della Faille, Marten","1","Antwerp","Delft","1585","1585-09-17","NA"
"DvdM_538a-039","Della Faille, Jacques","1","Het Vlie","Bremen","1585","1585-10-21","NA"
"DvdM_538a-040","Della Faille, Jacques","1","Hamburg","Bremen","1585","1585-10-30","NA"
"DvdM_538a-041","Della Faille, Jacques","1","Emden","Bremen","1585","1585-11-30","NA"
"DvdM_538a-042","Noirot, Jacques","1","Haarlem","Bremen","1585","1585-12-16","NA"
"DvdM_538a-043","Noirot, Jacques","1","Amsterdam","Bremen","1585","1585-12-20","NA"
"DvdM_538a-044","Della Faille, Jacques","1","Haarlem","Bremen","1585","1585-12-27","NA"
"DvdM_274-13","Della Faille, Marten","1","Antwerp","Bremen","1586","1586-01-05","1586-01-26"
